School ID,School Name,School Type,City,State,ZIP Code,CPS Perf Level,Safety,Safety Score,Family Involvement,Family Score,Environment,Environment Score,Instruction,Instruction Score,Teachers,Teachers Score,Parent Engage,Parent Engage Score,Parent Env,Parent Env Score,Avg Student Atd,Misconduct Rate,Avg Teacher Atd,ISAT Exceed Math,ISAT Exceed Reading,College Enrollment,Community Area,Community Name,Ward,Police District
610038,Abraham Lincoln Elementary School,ES,Chicago,IL,60614,Level 1,Very Strong,99,Very Strong,99,Strong,74,Strong,66,Strong,70,Strong,56,Average,47,96.00%,2,96.40%,69.7,64.4,813,7,LINCOLN PARK,43,18
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,Chicago,IL,60649,Level 1,Average,54,Strong,66,Strong,74,Very Strong,84,Strong,76,Weak,46,Average,50,95.60%,15.7,95.30%,16.8,16.5,521,43,SOUTH SHORE,7,4
610185,Adlai E Stevenson Elementary School,ES,Chicago,IL,60652,Level 2,Strong,61,NDA,NDA,Average,50,Weak,36,NDA,NDA,Average,47,Weak,41,95.70%,2.3,94.70%,18.3,15.5,1324,70,ASHBURN,13,8
609993,Agustin Lara Elementary Academy,ES,Chicago,IL,60609,Level 1,Average,56,Average,44,Average,45,Weak,37,Average,48,Average,53,Strong,58,95.50%,10.4,95.80%,11.1,9.6,556,61,NEW CITY,20,9
610513,Air Force Academy High School,HS,Chicago,IL,60609,Not Enough Data,Average,49,Strong,60,Strong,60,Average,55,Average,54,Average,53,Average,49,93.30%,15.6,96.90%,,,302,34,ARMOUR SQUARE,11,9
610212,Albany Park Multicultural Academy,MS,Chicago,IL,60625,Level 1,Strong,66,Weak,37,Strong,66,Strong,71,Average,50,Weak,46,Average,51,97.00%,2.3,96.90%,34.5,15.6,266,14,ALBANY PARK,39,17
609720,Albert G Lane Technical High School,HS,Chicago,IL,60618,Level 1,Very Strong,88,NDA,NDA,Strong,62,Average,52,NDA,NDA,NDA,NDA,NDA,NDA,96.30%,2.1,96.20%,,,4368,5,NORTH CENTER,47,19
610342,Albert R Sabin Elementary Magnet School,ES,Chicago,IL,60622,Level 3,Strong,67,NDA,NDA,Weak,30,Very Weak,18,NDA,NDA,NDA,NDA,NDA,NDA,94.70%,28.1,95.00%,18,12.8,620,24,WEST TOWN,1,14
610524,Alcott High School for the Humanities,HS,Chicago,IL,60618,Not Enough Data,Strong,70,NDA,NDA,Strong,67,Average,51,NDA,NDA,Strong,57,Weak,43,92.70%,7.1,96.90%,,,232,5,NORTH CENTER,1,19
610209,Alessandro Volta Elementary School,ES,Chicago,IL,60625,Level 2,Average,43,Strong,61,Weak,28,Weak,37,Average,56,Average,51,Average,53,96.40%,22.5,95.90%,19.9,14.2,1023,14,ALBANY PARK,39,17
609799,Alexander Graham Bell Elementary School,ES,Chicago,IL,60618,Level 1,Very Strong,99,Very Strong,88,Strong,64,Average,46,Average,51,NDA,NDA,NDA,NDA,96.30%,6.3,95.90%,64,57.9,998,5,NORTH CENTER,47,19
609947,Alexander Graham Elementary School,ES,Chicago,IL,60609,Level 2,Average,49,Weak,30,Weak,31,Weak,33,Average,41,Average,48,Average,51,92.50%,27.4,95.00%,20.8,11.1,476,61,NEW CITY,11,9
609963,Alexander Hamilton Elementary School,ES,Chicago,IL,60657,Level 2,Strong,73,Strong,64,Strong,60,Average,59,Average,48,Strong,57,Strong,54,95.30%,12.5,97.40%,13.8,21.3,307,6,LAKE VIEW,32,19
